pID,PortfolioLongName,Designation
1,Margetts Providence Strategy Fund,392125
2,Margetts Select Strategy Fund,392126
3,Margetts International Strategy Fund,392124
4,Margetts Venture Strategy Fund,392128
25,Margetts Opes Growth Fund,392212
26,Margetts Opes Income Fund,275938
65,MGTS Future Money Real Growth Fund,393242
66,MGTS Future Money Real Value Fund,393241
67,MGTS Future Money Income Fund,393244
68,MGTS Future Money Dynamic Growth Fund,393243
69,MGTS Clarion Prudence Portfolio,397789
70,MGTS Clarion Meridian Portfolio,397874
71,MGTS Clarion Explorer Portfolio,397792
77,MGTS AFH Tactical Core Fund,393586
112,MGTS St Johns High Income Property,397781
115,MGTS Sentinel Defensive Fund,506733
116,MGTS Sentinel Enterprise Fund,506734
117,MGTS Sentinel Universal Fund,506735
118,MGTS Sentinel Navigator Fund,669190
119,MGTS Sentinel Growth Fund,669191
123,MGTS IBOSS 1 Fund,564536
125,MGTS IBOSS 2 Fund,564541
126,MGTS IBOSS 4 Fund,564542
127,MGTS IBOSS 6 Fund,564543
128,MGTS AFH DA UK Multi-Cap Growth Fund,595947
129,MGTS AFH DA UK Smaller Companies Fund - Portfolio 1,595948
130,MGTS AFH DA European Equity Fund - Portfolio 1,595949
131,MGTS AFH DA North American Equity Fund - Portfolio 1,595950
132,MGTS AFH DA Asia ex Japan Equity Fund - Portfolio 1,595952
133,MGTS AFH DA Global Emerging Markets Equity Fund - Portfolio 1,595956
163,MGTS St Johns Property Authorised Trust,591910
164,MGTS AFH DA North American Equity Fund - Portfolio 2,595950
165,MGTS AFH DA North American Equity Fund - Portfolio 3,595950
166,MGTS AFH DA European Equity Fund - Portfolio 2,595949
167,MGTS AFH DA European Equity Fund - Portfolio 3,595949
168,MGTS AFH DA Global Emerging Markets Equity Fund - Portfolio 2,595956
169,Prima Cautious Fund,253275
171,Prima Balanced Fund,253277
172,Prima Adventurous Fund,253278
173,MGTS AFH DA North American Equity Fund,595950
174,MGTS AFH DA European Equity Fund,595949
175,MGTS AFH DA Global Emerging Markets Equity Fund,595956
177,MGTS Clarion Navigator Portfolio,253302
178,MGTS Wealth Solutions Defensive Fund,253301
179,MGTS Wealth Solutions Balanced Fund,253299
180,MGTS Wealth Solutions Adventurous Fund,253283
181,MGTS AFH DA UK Equity Fund - Portfolio 1,253551
182,MGTS AFH DA UK Smaller Companies Fund - Portfolio 2,595948
183,MGTS AFH DA UK Equity Fund - Portfolio 2,253551
184,MGTS AFH DA UK Equity Fund,253551
185,MGTS AFH DA UK Smaller Companies Fund - Portfolio 3,595948
189,MGTS AFH DA UK Smaller Companies Fund,595948
194,MGTS Tempus Defensive Portfolio,444762
195,MGTS Tempus Universal Portfolio,444780
196,MGTS Tempus Enterprise Portfolio,444732
197,MGTS Tempus Cautious Portfolio,444765
198,MGTS Tempus Growth Portfolio,444775
199,Blenheim Diversified Fixed Income Fund,444559
200,Blenheim Overseas Equity Fund,444561
201,Blenheim UK Equity Fund,444562
202,Blenheim Diversified Property Fund,444582
203,Blenheim Diversified Alternatives Fund,444583
204,Blenheim Ethical Opportunities Fund,444585
205,MGTS AFH DA Asia ex Japan Equity Fund - Portfolio 2,595952
206,MGTS IDAD Refined Growth Fund,444900
207,MGTS IDAD Future Wealth Fund,444999
208,MGTS AFH DA Asia ex Japan Equity Fund,595952
209,MGTS St Johns Cautious Fund,729006
210,MGTS St Johns Balanced Fund,729829
211,MGTS St Johns Growth Fund,730100
212,MGTS Progeny Dynamic Equity Fund,106175
213,MGTS Progeny Dynamic Bond Fund,106182
214,MGTS Progeny Systematic Equity Fund,106184
215,MGTS Progeny Systematic Bond Fund,106185
219,MGTS Aequitas Defensive Fund,
220,MGTS Aequitas Cautious Fund,
221,MGTS Aequitas Balanced Fund,
222,MGTS Aequitas Adventurous Fund,
223,MGTS Progeny ProFolio Global 30-50% Shares Fund,303484
224,MGTS Progeny ProFolio Global 50-70% Shares Fund,303559
225,MGTS Progeny ProFolio Global 70-90% Shares Fund,303566
226,MGTS Vision 20-60 Fund,
227,MGTS Vision 40-85 Fund,
228,MGTS Vision Diversified Fund,
229,MGTS Progeny ProFolio Model 30-50% Shares Fund,357693
230,MGTS Progeny ProFolio Model 50-70% Shares Fund,357694
231,MGTS Progeny ProFolio Model 70-90% Shares Fund,357697
232,SIIION Cautious Fund,
233,SIIION Balanced Fund,
234,SIIION Adventurous Fund,
